model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;11;582;2;-890.1994531950575;2;720;0.0;1.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-853.940931325454;2;720;0.0;1.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1286.9658478482631;2;720;0.0;1.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-740.8805164630576;2;720;0.0;1.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-773.8321148291807;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1062.9482010233216;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-863.3865210445167;2;711;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-769.5040297065135;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1214.4311803166684;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-923.6008488596538;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-769.5040297065135;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1383.0764242638136;2;715;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-913.0511935244745;2;717;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1342.542499947615;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1096.7072649801257;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-958.2255298409896;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-769.5040297065135;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1346.8705850702825;2;720;0.0;2.0;0.3;-1;-1;-1;-1;-1;-1;-1
