model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
CK;13;641;1;-1826.692011451427;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-970.9590964560925;2;720;0.0;1.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-263.25178374432363;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1226.9720710581528;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1512.2990401616485;2;711;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-1731.9153353692923;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-1695.726681022395;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-2310.150791575152;2;715;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-1666.3234249683685;2;717;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-2158.953067472419;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1339.5022842474923;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-1811.1422842935121;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-248.82483333543445;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-2173.3800178813085;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-1147.5025654845836;2;720;0.0;2.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-175.9309424920499;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1380.5813016343332;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-1808.5489434860363;2;711;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-157.89725448093762;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-2011.760382023266;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-2036.7977368820186;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-157.89725448093762;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-2735.618131358305;2;715;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-2000.388919374472;2;717;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-2545.557547152188;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1521.2440681210112;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-2181.0672409709164;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-157.89725448093762;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-2563.5912351633006;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-1351.5175924597534;2;720;0.0;2.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-120.24073812976386;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1565.821169100512;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-2122.9915496160297;2;711;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-98.60031251642883;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-2323.2360655672055;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-2396.291782924532;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-98.60031251642883;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-3192.496450830734;2;715;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-2352.800641504371;2;717;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-2963.7926637218743;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1734.6164888845215;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-2569.41518783121;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-98.60031251642883;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-2985.4330893352085;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-1573.955609617821;2;720;0.0;3.0;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-86.16021116801059;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1772.6707139672174;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;2;479;2;-2449.1949112747106;2;711;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;3;0;0;-60.913047952453525;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;4;504;1;-2656.321426511696;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;5;542;2;-2767.695454818893;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;6;0;0;-60.913047952453525;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;7;507;1;-3670.8343804996057;2;715;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;8;532;2;-2717.0723660450576;2;717;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;9;557;0;-3403.637457692158;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;10;370;1;-1969.5985870485642;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;11;582;2;-2969.6727605433525;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;12;0;0;-60.913047952453525;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;13;641;1;-3428.8846209077146;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;14;352;2;-1808.3032526277175;2;720;0.0;3.5;1;-1;-1;-1;-1;-1;-1;-1
CK;0;0;0;-66.22393786788271;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
CK;1;339;1;-1993.664512495544;2;720;0.0;4.0;1;-1;-1;-1;-1;-1;-1;-1
