name;value;min;max;default_value;freedom;comment
ALPHA_RW;0.3;0.0;1.0;0.5;1;learning rate
BETA_RW;4;0;7;1;1;Inverse temperature that controls the level of stochasticity
MENU_TIME;2.;0.05;3.;2.;0; Minimum menu selection time
HOTKEY_TIME;0.9;0.05;2.;0.9;0; Minimum hotkey selection time
LEARNING_COST;1.8;0.05;2;1.8;0; Temporal cost of learning hotkeys
ERROR_COST;3.;0.05;5;3.;0; Temporal cost of an error
