name;value;min;max;step;freedom;comment
ALPHA_RW;0.3;0.0;1;0.05;1;learning rate
BETA_RW;6;0;14;1;1;Inverse temperature that controls the level of stochasticity
ALPHA_CK;0.4;0.0;1;0.05;1;learning rate
BETA_CK;0.5;0;14;1;1;Inverse temperature that controls the level of stochasticity
