parameter;id;value;min;max;step;comment
ALPHA_RW;alpha_RWD;0.4;0;0.8;0.1;learning rate for Rescolar_Wagner
BETA_RW;beta_RW;8;6;12;2;Inverse temperature that controls the level of stochasticity for Rescolar_Wagner
V0_RW;beta_RW;0.3;0.3;0.3;0.3;Inverse temperature that controls the level of stochasticity for Rescolar_Wagner
DECAY;decay;0.05;0;0.2;0.02;decay
