parameter;id;value;min;max;step;comment
alpha;alpha;1;0;1;0.2;learning rate for Rescolar_Wagner
beta;beta;2;0;6;2;Inverse temperature that controls the level of stochasticity for Rescolar_Wagner
alpha_c;alpha_c;0.4;0;1;0.2;learning rate for Choice Kernel
beta_c;beta_c;3;0;6;2;Inverse temperature that controls the level of stochasticity for Choice Kernel
