parameter;id;value;min;max;step;comment
ALPHA_CK;alpha_CK;0.4;0.0;1;0.05;learning rate
BETA_CK;beta_CK;0.5;0;14;0.5;Inverse temperature that controls the level of stochasticity
V0_CK;V0_CK;1;1;1;1; Initial value of the CK value for the default method
