parameter;id;value;min;max;step;comment
KM;KM;0.01;0;1.0;0.001;Implicit Hotkey knowledge gained from Menu Strategy
KL;KL;0.1;0;1.0;0.01;Explicit Hotkey knowledge gained from Learning Strategy
B;B;6;1;20;2; Inverse Temperature
HORIZON;HORIZON;3;0;6.1;1;depth of thinking, i.e. how many trial do I see in advance
DECAY;DECAY;0.0001;0.0;0.006;0.0001;Decay factor, i.e. how users quickly forget.
